id,work_title,movement,clef,keysig,timesig,pae_data,rism_id,rism_opac_link,tu_da_link
30627992,Symphonie in G-Dur GWV 585 (1750),4. Allegro,G-2,xF,6/8,{''8GGD}{GGD}/{EDC}q8C4'B8A/{8.B3''xCD}{CD6E}{8D'A''3EF6G}/,450002104,https://opac.rism.info/metaopac/search?View=rism&id=450002104,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-57/0002
30627994,Symphonie in G-Dur GWV 586 (1750),1. Presto,G-2,xF,c,4-'B''DG/i/-DGB/i/,450002105,https://opac.rism.info/metaopac/search?View=rism&id=450002105,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-58/0002
30627995,Symphonie in G-Dur GWV 586 (1750),2. Andante,G-2,xF,3,{'8.B''6xD}q8D4.E8F/qF{8.G6xG}q4G2A/4C'B8-A/qA{8.Gt6F8EGFE}/,450002105,https://opac.rism.info/metaopac/search?View=rism&id=450002105,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-58/0002
30627997,Symphonie in G-Dur GWV 586 (1750),3. Menuet,G-2,xF,3,{'8GB}qB4A{8B''D}/qD4C{8'BGAF}/''G4D8nF4E/q8D4C'B-/,450002105,https://opac.rism.info/metaopac/search?View=rism&id=450002105,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-58/0002
30627999,Symphonie in G-Dur GWV 586 (1750),4. Allegro,G-2,xF,2/4,{''3DEF}/{8GDGD}/{G'G}-{''3DEFG}/{8ADAD}/{AD}-A/,450002105,https://opac.rism.info/metaopac/search?View=rism&id=450002105,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-58/0002
30628002,Symphonie in G-Dur GWV 587 (1750),1. Allegro,G-2,xF,2/4,"{''8DD}{D(6GFE)}/i/{8D,GB'D}/{G,G}4-/",450002106,https://opac.rism.info/metaopac/search?View=rism&id=450002106,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-59/0002
30628003,Symphonie in G-Dur GWV 587 (1750),2. Un poco allegro,G-2,bBE,c,'4.G8xFqF4.G8A/''qC{'8.B6A}q8A4G8-{A8.B''6C}/8D4D8E4DE/,450002106,https://opac.rism.info/metaopac/search?View=rism&id=450002106,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-59/0002
30628005,Symphonie in G-Dur GWV 587 (1750),3. Allegro,G-2,xF,c,''4D/GGGG/i/G{8FE}{DC'BA}/4BG,450002106,https://opac.rism.info/metaopac/search?View=rism&id=450002106,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-59/0002
30628007,Symphonie in G-Dur GWV 587 (1750),4. Allegro,G-2,xF,3/8,{'6GF8GA}/{B''CD}/{EFG}/4.D/{6ED8ED}/,450002106,https://opac.rism.info/metaopac/search?View=rism&id=450002106,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-59/0002
30628010,Symphonie in G-Dur GWV 588 (1750),1. Allegro,G-2,xF,c,{'6GGGG}{GGGG}{''DDDD}{DDDD}/{8G'EGE}{BE}4-/{''6CCCC},450002107,https://opac.rism.info/metaopac/search?View=rism&id=450002107,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-60/0002
30628012,Symphonie in G-Dur GWV 588 (1750),2. Un poco allegro,G-2,xF,c,",4B'4.G{8E8.F6xD}/4EB2-/4E''4.C{'8A8.B6xG}/",450002107,https://opac.rism.info/metaopac/search?View=rism&id=450002107,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-60/0002
30628014,Symphonie in G-Dur GWV 588 (1750),3. Menuet,G-2,xF,3,'2.G/A/{8''CG'B''G'A''G}/'4G''2D/,450002107,https://opac.rism.info/metaopac/search?View=rism&id=450002107,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-60/0002
30628016,Symphonie in G-Dur GWV 588 (1750),4. Presto,G-2,xF,2/4,"'4GA/8B4G8F/4,GA/{8BG}4-/''DG/",450002107,https://opac.rism.info/metaopac/search?View=rism&id=450002107,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-60/0002
